#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Let It Flow - The Jazz Mix","Naoki Kenji",110,6A,53,2026-04-28,05:04,41,"lounge","Versatile",2006-05-30,71,9,76,67,0,0,-14,G Minor,4,4cDdIUh9P5CY0ecMXx8PS1,DEH740602179
2,"Relax - Vargo Vocal Remix","Blank & Jones,VARGO",170,6B,75,2026-04-28,06:10,36,"trance, lounge","Relax Edition 1",2003-04-07,24,16,92,44,0,10,-8,A#/B♭ Major,4,35o4nN5z3kN4YFPUXcy2wG,DEGE91100198
3,"Won't Give Up - Cafe Del Mar Mix","Roberto Sol,Florito,Martine",101,8A,66,2026-04-28,04:14,46,"lounge, ","Electrified Emotions",2013-10-11,66,3,7,29,0,0,-8,A Minor,4,4Ezv6yXGFFQ6KsFIR4Zw2Y,DEMQ11300304
4,"Waltz No. 19 in A minor, Op. posth.","Frédéric Chopin,Peter Jablonski",69,8A,3,2026-04-28,02:12,64,"piano clásico, clásica","Chopin: Waltzes, etc.",1995-01-01,31,98,93,15,0,0,-37,A Minor,4,71MpmxCJ1TW05c7Fvv1SfI,GBF079540817
5,"El Baile del Sapito - Infantil","Cartoon Studio,Canción infantil",144,9B,79,2026-04-28,02:55,61,"canción de cuna, música infantil","El Baile del Sapito",2017-05-04,93,28,0,99,0,20,-4,G Major,4,5FUPss7Xsr9hnxuIUe9b01,QM6MZ1719869
6,"Deviation - Octavio Gimenez Remix","YOUNA,Octavio Gimenez",126,9B,87,2026-04-28,05:54,20,"techno melódico, house melódico, house progresivo","Escape The Reality",2024-02-16,57,0,87,31,0,10,-10,G Major,4,15n2iAUwcXqiYiGFRCPbiW,GBKQU2410228
7,"Si No Estas Conmigo","Cynthia y José Luis",170,11B,81,2026-04-28,03:16,55,"","Amor En Custodia",2005-01-01,42,35,0,41,0,10,-4,A Major,4,0wrsKr5aAgSbyfNihaZbQ6,MXUM70600260
8,"La Hora de Comer","Lety Balsa",141,5B,58,2026-04-28,00:56,27,"","Pegando Nuevas Canciones del Jardín",2009-01-19,82,50,0,51,10,0,-7,D#/E♭ Major,4,5ciuOVncHpsnqngsh7G3N5,QM7281560291
9,"DDU-DU DDU-DU","BLACKPINK",140,9A,83,2026-04-28,03:31,74,"k-pop","SQUARE UP",2018-06-15,67,4,0,39,0,0,-5,E Minor,4,4lQsB3ERTWSNaAN1IkuNRl,KRA401800096
10,"Cinco Patitos","Super Simple Español",116,11A,27,2026-04-28,02:32,47,"canción de cuna, música infantil","Bebé Tiburón y Más Canciones Infantiles",2018-10-31,94,28,0,63,0,0,-10,F#/G♭ Minor,4,0FXmi2206v1P6c8myqefBi,TCADY1806474
11,"El Tren de Plim Plim","El Payaso Plim Plim",100,11B,62,2026-04-28,02:29,49,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 2",2018-11-19,80,24,0,76,0,30,-5,A Major,4,1rPf6tTZLaVdjoBJkwnt3e,USL4Q1852087
12,"Moonlight","Rameses B",140,8B,84,2026-04-28,05:43,36,"chillstep, liquid funk, drum and bass, drumstep","Inspire - EP",2012-05-23,55,6,27,24,0,10,-6,C Major,4,5ZBemWNJFt6Ne1ay2vjVJD,ushm21296927
13,"Los Planetas","TV Para Niños",120,10B,28,2026-04-28,03:04,40,"canción de cuna","TV Para Niños",2020-08-20,91,66,0,93,0,20,-13,D Major,4,0RcRscpgOvs8SrTGRBDOex,QZK6M2081212
14,"El Juego de los Nombres","Burbujas",161,3A,88,2026-04-28,03:21,30,"canción de cuna, música infantil","Grandes Éxitos",2016-07-15,68,36,0,49,20,0,-8,A#/B♭ Minor,4,2iIyAtoxMS0InnrvdB6VPW,MXF601600326
15,"La Mané","Luli Pampín",132,6B,89,2026-04-28,02:55,47,"canción de cuna, música infantil, villancicos","Canciones y Juegos Con Luli Pampín",2019-04-19,84,45,0,98,0,0,-3,A#/B♭ Major,4,1JfOCWt5vxijncYkSp7w5f,ITZV21900070
16,"Cochinitos Dormilones - Remasterizado 1995","Cri-Cri",92,9B,37,2026-04-28,03:24,53,"canción de cuna, música infantil","Las 100 Clásicas de Cri Cri Vol. 1",2001-03-30,38,94,0,56,0,10,-8,G Major,4,5jy4BFZMsN58GxG1dSHDd2,MXF010000697
17,"Chu Chu Ua Chu Chu Ua","El Reino Infantil,Bichikids en Español",130,8B,77,2026-04-28,03:26,59,"canción de cuna, música infantil","El Reino Infantil Vol. 1",2015-02-24,92,25,0,92,10,0,-7,C Major,4,1sxU99FLh8hBYbmvKkQLKF,ARF061401657
18,"Te quiero","Barney Español",50,7A,32,2026-04-28,00:57,47,"canción de cuna, música infantil","Juguemos a cantar con Barney",2005-01-01,56,52,0,28,0,40,-14,D Minor,4,4mPP0bb1je8NWfZhvtKjCe,USA371696766
19,"Soy grande","Volar para Contar",105,10B,19,2026-04-28,01:44,63,"canción de cuna","Soy Grande, Fuerte, Inteligente",2024-06-25,84,91,0,68,0,0,-9,D Major,4,5Q9kRAXdoJMRMBigdkSGlD,QZWDE2400605
20,"Checkpoint","Igor Pumphonia",113,5A,58,2026-04-28,03:46,1,"","Checkpoint",2025-03-13,80,26,83,37,0,20,-8,C Minor,4,50L7h5L4FXX6TS8iPWpnUW,UKEX32509274
21,"Umacapiruá","Pim Pau",100,10B,77,2026-04-28,02:23,51,"canción de cuna, música infantil","Recreo",2016-00-00,81,33,0,63,10,0,-8,D Major,4,1NQx4LsPOBvjnHWjPcgadR,AR6VY1600003
22,"Jane Maryam","Evgeny Grinko",97,5A,10,2026-04-28,01:30,1,"","Outtakes",2018-12-09,39,98,92,14,0,10,-19,C Minor,3,46xC5pDq9vxl4JcHkb1QkX,FRX201839322
23,"Love Story","Francis Lai,Lola & Hauser",82,7A,24,2026-04-28,04:11,48,"","Love Story",2018-05-30,20,98,86,10,0,0,-14,D Minor,4,06n8oG19KaU6Vj3DR4TUM5,TCADR1802371
